,nodes,SMTBF,NMTBF,MTTR,fixed-failures,repair-time,makespan_sec,avg-avg-pp-slowdown,avg-pp-slowdown-tau,avg_tat,avg_avg_utilization,avg_avg_waiting,avg_avg_waiting_dhms,makespan_dhms,avg_tat_dhms,avg-avg-pp-slowdown_dhms,AAE,SMTBF_failures,MTBF_failures,Fixed_failures,number_of_makespans,rejected_not_enough_available_resources,checkpointed_num,percent_checkpointed,checkpointing_on_num,checkpointing_on_percent,id,job,exp
0,1490,1159731.543624,1728000000.0,False,-1,0.0,25915043.0,3.4999826303511976,60.0,10733.74852800384,0.6536963328181707,7028.984357698389,1:57:08,"299 days, 22:37:23",2:58:53,0:00:03,0.9974261921693981,23.53,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,id_1,experiment_1,2018
0,1490,579865.771812,864000000.0,False,-1,0.0,25915043.0,3.553919802650973,60.0,10787.42874773661,0.6551952411765106,7080.785573920294,1:58:00,"299 days, 22:37:23",2:59:47,0:00:03,0.9951456186642754,44.81,0.0,0.0,100,0.0,0.0,0.0,1.0,7.222198148228394e-06,id_1,experiment_2,2018
0,1490,289932.885906,432000000.0,False,-1,0.0,25915043.0,3.5795046970280113,60.0,10942.680611043688,0.6588641575967921,7231.87179028603,2:00:31,"299 days, 22:37:23",3:02:22,0:00:03,0.9896065431334173,90.27,0.0,0.0,100,0.0,0.25,1.8055495370570982e-06,77.0,0.0005561092574135864,id_1,experiment_3,2018
0,1490,1159731.543624,1728000000.0,False,-1,7200.0,25915043.0,3.5311566478995395,60.0,10750.367712343226,0.6538249337067599,7045.476029189909,1:57:25,"299 days, 22:37:23",2:59:10,0:00:03,0.9972303213341666,23.6,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,id_1,experiment_4,2018
0,1490,579865.771812,864000000.0,False,-1,7200.0,25915043.0,3.461403904539963,60.0,10778.356407326923,0.6553361952763467,7071.634444286919,1:57:51,"299 days, 22:37:23",2:59:38,0:00:03,0.9949308181160798,46.22,0.0,0.0,100,0.0,0.0,0.0,1.0,7.222198148228394e-06,id_1,experiment_5,2018
0,1490,289932.885906,432000000.0,False,-1,7200.0,25915043.0,3.5374656010683556,60.0,10909.266249634791,0.6586902182808507,7198.632957794987,1:59:58,"299 days, 22:37:23",3:01:49,0:00:03,0.9898670388919442,87.98,0.0,0.0,100,0.0,0.19,1.3722176481633948e-06,77.0,0.0005561092574135864,id_1,experiment_6,2018
0,1490,1159731.543624,1728000000.0,False,-1,14400.0,25915043.0,3.5162519422481737,60.0,10737.389507820295,0.6535896795990327,7032.675505271888,1:57:12,"299 days, 22:37:23",2:58:57,0:00:03,0.9975884024087202,23.28,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,id_1,experiment_7,2018
0,1490,579865.771812,864000000.0,False,-1,14400.0,25915043.0,3.5093108753424467,60.0,10770.93866586262,0.6552201190072823,7064.3088177170475,1:57:44,"299 days, 22:37:23",2:59:30,0:00:03,0.9951078501743129,45.62,0.0,0.0,100,0.0,0.0,0.0,1.0,7.222198148228394e-06,id_1,experiment_8,2018
0,1490,289932.885906,432000000.0,False,-1,14400.0,25915043.0,3.5325592956000667,60.0,10918.40715717647,0.6587506771947572,7207.640881101644,2:00:07,"299 days, 22:37:23",3:01:58,0:00:03,0.9897761083946771,91.74,0.0,0.0,100,0.0,0.36,2.5999913333622217e-06,77.0,0.0005561092574135864,id_1,experiment_9,2018
0,1490,1159731.543624,1728000000.0,False,-1,21600.0,25915043.0,3.525326797508673,60.0,10740.60291792456,0.6536284970347956,7035.91482696505,1:57:15,"299 days, 22:37:23",2:59:00,0:00:03,0.9975297393171263,22.85,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,id_1,experiment_10,2018
